COG	Protein name	Pathway	Letter	Function
COG5520	O-Glycosyl hydrolase		M	Cell Wall/Membrane/Envelope Biogenesis
COG5521	Maltodextrin utilization protein YvdJ (function unknown)		G	Carbohydrate Transport and Metabolism
COG5522	Uncharacterized membrane protein YwaF		S	Function Unknown
COG5523	Uncharacterized membrane protein		S	Function Unknown
COG5524	Bacteriorhodopsin		C	Energy Production and Conversion
COG5524	Bacteriorhodopsin		T	Signal Transduction Mechanisms
COG5525	Phage terminase, large subunit GpA		X	Mobilome: Prophages, Transposons
COG5526	Lysozyme family protein		R	General Function Prediction Only
COG5527	Protein involved in initiation of plasmid replication		X	Mobilome: Prophages, Transposons
COG5528	Uncharacterized membrane protein		S	Function Unknown
COG5529	Phage-encoded DNA-binding protein ECs1768, contains HTH and DnaT DNA-binding domains		X	Mobilome: Prophages, Transposons
COG5530	Uncharacterized membrane protein		S	Function Unknown
COG5531	DNA-binding SWIB/MDM2 domain		B	Chromatin Structure and Dynamics
COG5532	Uncharacterized conserved protein YfdQ, DUF2303 family		S	Function Unknown
COG5533	Ubiquitin C-terminal hydrolase		O	Post-translational Modification, Protein Turnover, Chaperones
COG5534	Plasmid replication initiator protein		X	Mobilome: Prophages, Transposons
COG5542	Mannosyltransferase related to Gpi18		G	Carbohydrate Transport and Metabolism
COG5544	Uncharacterized conserved protein YfiM, DUF2279 family		S	Function Unknown
COG5545	Predicted P-loop ATPase and inactivated derivatives		X	Mobilome: Prophages, Transposons
COG5546	Uncharacterized membrane protein		S	Function Unknown
COG5547	Uncharacterized membrane protein		S	Function Unknown
COG5548	Uncharacterized membrane protein, UPF0136 family		S	Function Unknown
COG5549	Predicted Zn-dependent protease		O	Post-translational Modification, Protein Turnover, Chaperones
COG5550	Predicted aspartyl protease		O	Post-translational Modification, Protein Turnover, Chaperones
COG5551	CRISPR/Cas system endoribonuclease Cas6, RAMP superfamily	CRISPR-Cas system	V	Defense Mechanisms
COG5552	Uncharacterized conserved protein, DUF2277 domain		S	Function Unknown
COG5553	Predicted metal-dependent enzyme of the double-stranded beta helix superfamily		R	General Function Prediction Only
COG5554	Nitrogen fixation protein NifT		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG5555	Cytolysin, a secreted calcineurin-like phosphatase		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG5556	Uncharacterized conserved protein		S	Function Unknown
COG5557	Ni/Fe-hydrogenase 2 integral membrane subunit HybB		C	Energy Production and Conversion
COG5558	Transposase		X	Mobilome: Prophages, Transposons
COG5559	Uncharacterized conserved protein, DUF2281 domain		S	Function Unknown
COG5561	Predicted metal-binding protein, contains CGGC domain		S	Function Unknown
COG5562	Prophage-encoded protein YbcV, DUF1398 family		X	Mobilome: Prophages, Transposons
COG5563	Uncharacterized conserved protein CPn0794, contains PKD-like HAF repeats		S	Function Unknown
COG5564	Predicted TIM-barrel enzyme		S	Function Unknown
COG5565	Phage terminase large (ATPase) subunit and inactivated derivatives		X	Mobilome: Prophages, Transposons
COG5566	Transcriptional regulator, middle operon regulator (Mor) family		K	Transcription
COG5566	Transcriptional regulator, middle operon regulator (Mor) family		X	Mobilome: Prophages, Transposons
COG5567	Small periplasmic lipoprotein YifL (function unknown)		S	Function Unknown
COG5568	Uncharacterized conserved protein, DUF1150 family		S	Function Unknown
COG5569	Periplasmic Cu and Ag efflux protein CusF		P	Inorganic Ion Transport and Metabolism
COG5570	Uncharacterized conserved protein, DUF465 domain		S	Function Unknown
COG5571	Uncharacterized conserved protein YhjY, contains autotransporter beta-barrel domain		R	General Function Prediction Only
COG5572	Uncharacterized membrane protein		S	Function Unknown
COG5573	Predicted nucleic acid-binding protein, contains PIN domain		R	General Function Prediction Only
COG5577	Spore coat protein CotF		M	Cell Wall/Membrane/Envelope Biogenesis
COG5578	Uncharacterized membrane protein YesL		S	Function Unknown
COG5579	Uncharacterized conserved protein, DUF1810 family		S	Function Unknown
COG5580	Activator of HSP90 ATPase		O	Post-translational Modification, Protein Turnover, Chaperones
COG5581	Cyclic di-GMP-binding flagellar brake protein FlgZ/YcgR, contains PilZNR(YcgR) and PilZ domains		N	Cell Motility
COG5582	Uncharacterized conserved protein YpiB, UPF0302 family		S	Function Unknown
COG5583	Uncharacterized conserved protein YezD		S	Function Unknown
COG5584	Uncharacterized conserved protein YtzB		S	Function Unknown
COG5585	Putative phage head morphogenesis protein, F of phage Mu or gp7 of SPP1		X	Mobilome: Prophages, Transposons
COG5586	Uncharacterized protein, contains DUF2293 domain		S	Function Unknown
COG5587	Uncharacterized protein, contains DUF2461 domain		S	Function Unknown
COG5588	Uncharacterized conserved protein, DUF1326 domain		S	Function Unknown
COG5589	Uncharacterized conserved protein, DUF2390 domain		S	Function Unknown
COG5590	Ubiquinone biosynthesis protein COQ9		H	Coenzyme Transport and Metabolism
COG5591	Uncharacterized conserved protein		S	Function Unknown
COG5592	Hemerythrin domain-containing protein		R	General Function Prediction Only
COG5595	Predicted  nucleic acid-binding protein, contains Zn-ribbon domain		R	General Function Prediction Only
COG5597	N-acetylglucosaminyl transferase		M	Cell Wall/Membrane/Envelope Biogenesis
COG5598	Trimethylamine:corrinoid methyltransferase		H	Coenzyme Transport and Metabolism
COG5599	Protein tyrosine phosphatase		T	Signal Transduction Mechanisms
COG5605	Cytochrome c oxidase subunit IV		C	Energy Production and Conversion
COG5606	Predicted DNA-binding protein, XRE-type HTH domain		R	General Function Prediction Only
COG5607	CHAD domain, binds inorganic polyphosphates		S	Function Unknown
COG5608	Dessication stress tolerance protein, LEA/WHy domain		V	Defense Mechanisms
COG5609	Na+-translocating membrane potential-generating system subunit MpsC, DUF2294 family		C	Energy Production and Conversion
COG5610	Predicted sugar hydrolase, contains GT1 and HAD domains		R	General Function Prediction Only
COG5611	Predicted nucleic-acid-binding protein, contains PIN domain		R	General Function Prediction Only
COG5612	Ni/Co/Cd-binding protein CnrX (heavy-metal resistance)		P	Inorganic Ion Transport and Metabolism
COG5613	Type III secretion system effector SseC (host membrane pore formation)		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG5614	Phage head-tail adaptor		X	Mobilome: Prophages, Transposons
COG5615	Uncharacterized membrane protein		S	Function Unknown
COG5616	TolB amino-terminal domain (function unknown)		T	Signal Transduction Mechanisms
COG5617	Predicted membrane glycosyltransferase TK1552, contains 6-pyruvoyl-tetrahydropterin synthase (PTPS)-related domain		R	General Function Prediction Only
COG5618	Predicted periplasmic lipoprotein		S	Function Unknown
COG5619	Uncharacterized conserved protein, DUF2290 domain		S	Function Unknown
COG5620	Uncharacterized conserved protein, DUF1851 domain		S	Function Unknown
COG5621	Predicted lipocalin, contains AttH/CrtC domain		R	General Function Prediction Only
COG5622	Protein required for attachment to host cells		M	Cell Wall/Membrane/Envelope Biogenesis
COG5625	Predicted DNA-binding transcriptional regulator, contains HTH domain		K	Transcription
COG5626	Uncharacterized protein Ssr3000, DUF2288 family		S	Function Unknown
COG5628	Predicted acetyltransferase		R	General Function Prediction Only
COG5630	N-acetylglutamate synthase (arginine biosynthesis)		E	Amino Acid Transport and Metabolism
COG5631	Predicted transcription regulator, contains HTH domain, MarR family		K	Transcription
COG5632	N-acetylmuramoyl-L-alanine amidase CwlA		M	Cell Wall/Membrane/Envelope Biogenesis
COG5633	Uncharacterized conserved protein YcfL		S	Function Unknown
COG5634	Uncharacterized conserved protein YukJ, DUF2278 family		S	Function Unknown
COG5635	Predicted NTPase, NACHT family domain		T	Signal Transduction Mechanisms
COG5637	Uncharacterized protein, contains SRPBCC domain		S	Function Unknown
COG5639	Uncharacterized conserved protein, DUF2274 domain		S	Function Unknown
COG5640	Secreted trypsin-like serine protease		O	Post-translational Modification, Protein Turnover, Chaperones
COG5642	Uncharacterized conserved protein, DUF2384 family		S	Function Unknown
COG5643	Uncharacterized conserved protein containing a metal-binding domain		R	General Function Prediction Only
COG5645	Uncharacterized conserved protein YceK		S	Function Unknown
COG5646	Iron-binding protein Fra/YdhG, frataxin family (Fe-S cluster biosynthesis)		O	Post-translational Modification, Protein Turnover, Chaperones
COG5646	Iron-binding protein Fra/YdhG, frataxin family (Fe-S cluster biosynthesis)		P	Inorganic Ion Transport and Metabolism
COG5649	Uncharacterized conserved protein, DUF1801 domain		S	Function Unknown
COG5650	Uncharacterized membrane protein		S	Function Unknown
COG5651	PPE-repeat protein		S	Function Unknown
COG5652	VanZ-like family protein (function unknown)		S	Function Unknown
COG5653	Acetyltransferase involved in cellulose biosynthesis, CelD/BcsL family		N	Cell Motility
COG5654	Uncharacterized protein, contains RES domain		S	Function Unknown
COG5655	Replication initiaton protein REP (rolling circle plasmid replication)		X	Mobilome: Prophages, Transposons
COG5658	Bacterial immunity/signal transduction membrane protein SdpI,  SdpI/YbgB/DUF1648 family		V	Defense Mechanisms
COG5659	SRSO17 transposase		X	Mobilome: Prophages, Transposons
COG5660	Anti-sigma-YlaC factor YlaD, contains Zn-finger domain		T	Signal Transduction Mechanisms
COG5661	Predicted secreted Zn-dependent protease		O	Post-translational Modification, Protein Turnover, Chaperones
COG5662	Transmembrane transcriptional regulator RsiW (anti-sigma-W factor)		K	Transcription
COG5663	Uncharacterized conserved protein YqfW, HAD superfamily		R	General Function Prediction Only
COG5664	Predicted secreted Zn-dependent protease		O	Post-translational Modification, Protein Turnover, Chaperones
COG5665	CCR4-NOT transcriptional regulation complex, NOT5 subunit		K	Transcription
COG5671	NAD(P)H dehydrogenase cyanobacteria/chloroplast subunit L		C	Energy Production and Conversion
COG5672	NAD(P)H dehydrogenase cyanobacteria/chloroplast subunit M		C	Energy Production and Conversion
COG5673	NAD(P)H dehydrogenase cyanobacteria/chloroplast subunit N		C	Energy Production and Conversion
COG5674	NAD(P)H dehydrogenase cyanobacteria/chloroplast subunit O		C	Energy Production and Conversion
COG5675	Ferredoxin-NADP+ oxidoreductase PetH, often fused with N-terminal CpcD domain		C	Energy Production and Conversion
COG5676	Cytochrome cM		C	Energy Production and Conversion
COG5677	Cytochrome c6		C	Energy Production and Conversion
COG5678	Cytochrome b6f complex cytochrome f subunit, PetA		C	Energy Production and Conversion
COG5679	Cytochrome b6f complex subunit IV, PetD, 17 kd cytochrome b		C	Energy Production and Conversion
COG5680	Cytochrome b6f complex subunit V, PetG		C	Energy Production and Conversion
COG5681	Cytochrome b6f complex subunit VI, PetL/Ycf7		C	Energy Production and Conversion
COG5682	Cytochrome b6f complex subunit VII, PetM/Ycf31		C	Energy Production and Conversion
COG5683	Cytochrome b6f complex subunit VIII, PetN/Ycf6		C	Energy Production and Conversion
COG5684	Allophycocyanin alpha chain		C	Energy Production and Conversion
COG5685	Allophycocyanin beta chain		C	Energy Production and Conversion
COG5686	Phycobilisome linker polypeptide		C	Energy Production and Conversion
COG5687	Phycocyanin alpha chain, CpcA/CpeB		C	Energy Production and Conversion
COG5688	Phycocyanin/phycoerythrin beta chain, CpcB/CpeB		C	Energy Production and Conversion
COG5689	Phycobilisome linker protein CpcD		C	Energy Production and Conversion
COG5690	Phycocyanobilin lyase CpeS/CpcS (= Ycf58)		C	Energy Production and Conversion
COG5691	Phycocyanobilin lyase CpeT/CpcT		C	Energy Production and Conversion
COG5692	Phycocyanobilin:ferredoxin oxidoreductase		C	Energy Production and Conversion
COG5693	Phycobilisome linker protein ApcE		C	Energy Production and Conversion
COG5694	Phycobilisome linker ApcECpcD fusion protein		C	Energy Production and Conversion
COG5695	NAD(P)H dehydrogenase cyanobacteria/chloroplast subunit P		C	Energy Production and Conversion
COG5696	NAD(P)H dehydrogenase cyanobacteria/chloroplast subunitQ		C	Energy Production and Conversion
COG5701	Photosystem I reaction center subunit A1, PsaA	Photosystem I	C	Energy Production and Conversion
COG5702	Photosystem I reaction center subunit A2, PsaB	Photosystem I	C	Energy Production and Conversion
COG5703	Photosystem I reaction center iron-sulfur center subunit VII, PsaC	Photosystem I	C	Energy Production and Conversion
COG5704	Photosystem I reaction center subunit II, PsaD	Photosystem I	C	Energy Production and Conversion
COG5705	Photosystem I reaction center subunit IV, PsaE	Photosystem I	C	Energy Production and Conversion
COG5706	Photosystem I reaction center subunit III, PsaF	Photosystem I	C	Energy Production and Conversion
COG5707	Photosystem I reaction center subunit VIII, PsaI	Photosystem I	C	Energy Production and Conversion
COG5708	Photosystem I reaction center subunit IX, PsaJ	Photosystem I	C	Energy Production and Conversion
COG5709	Photosystem I reaction center subunit X, PsaK	Photosystem I	C	Energy Production and Conversion
COG5710	Photosystem I reaction center subunit XI, PsaL	Photosystem I	C	Energy Production and Conversion
COG5711	Photosystem I reaction center subunit XII, PsaM	Photosystem I	C	Energy Production and Conversion
COG5712	Photosystem I assembly protein Ycf4	Photosystem I	C	Energy Production and Conversion
COG5713	Photosystem I assembly protein Ycf3, contains TPR repeats	Photosystem I	C	Energy Production and Conversion
COG5714	Photosystem I assembly protein Ycf37, contains TPR repeats	Photosystem I	C	Energy Production and Conversion
COG5715	Photosystem I auxiliary component Ycf33, involved in cyclic electron transport	Photosystem I	C	Energy Production and Conversion
COG5716	Photosystem II reaction center D1, PsbA	Photosystem II	C	Energy Production and Conversion
COG5717	Photosystem II reaction center chlorophyll a-binding protein CP47, PsbB	Photosystem II	C	Energy Production and Conversion
COG5718	Photosystem II reaction center chlorophyll a-binding protein CP43, PsbC	Photosystem II	C	Energy Production and Conversion
COG5719	Photosystem II reaction center D2, PsbD	Photosystem II	C	Energy Production and Conversion
COG5720	Photosystem II cytochrome b559 alpha subunit, PsbE	Photosystem II	C	Energy Production and Conversion
COG5721	Photosystem II cytochrome b559 beta chain, PsbF	Photosystem II	C	Energy Production and Conversion
COG5722	Photosystem II reaction center 10 kDa phosphoprotein, PsbH	Photosystem II	C	Energy Production and Conversion
COG5723	Photosystem II reaction center protein I, PsbI, oxygen-evolving center	Photosystem II	C	Energy Production and Conversion
COG5724	Photosystem II reaction center protein J, PsbJ	Photosystem II	C	Energy Production and Conversion
COG5725	Photosystem II reaction center protein K, PsbK	Photosystem II	C	Energy Production and Conversion
COG5726	Photosystem II reaction center protein L, PsbL	Photosystem II	C	Energy Production and Conversion
COG5727	Photosystem II reaction center protein M, PsbM	Photosystem II	C	Energy Production and Conversion
COG5728	Photosystem II reaction center protein N, PsbN	Photosystem II	C	Energy Production and Conversion
COG5729	Photosystem II reaction center Mn-stabilizing protein, PsbO	Photosystem II	C	Energy Production and Conversion
COG5730	Photosystem II reaction center protein P, PsbP	Photosystem II	C	Energy Production and Conversion
COG5731	Photosystem II reaction center protein T, PsbT/Ycf8	Photosystem II	C	Energy Production and Conversion
COG5732	Photosystem II reaction center protein W, PsbW/Psb28/Ycf79	Photosystem II	C	Energy Production and Conversion
COG5733	Photosystem II reaction center protein X, PsbX	Photosystem II	C	Energy Production and Conversion
COG5734	Photosystem II reaction center protein Y, PsbY	Photosystem II	C	Energy Production and Conversion
COG5735	Photosystem II reaction center protein Z, PsbZ/Ycf9	Photosystem II	C	Energy Production and Conversion
COG5736	Photosystem II reaction center 11 kD protein, Psb27	Photosystem II	C	Energy Production and Conversion
COG5737	Photosystem II 12 kDa extrinsic protein PsbU	Photosystem II	C	Energy Production and Conversion
COG5738	Photosystem II cytochrome c550, PsbV	Photosystem II	C	Energy Production and Conversion
COG5739	Photosystem II oxygen-evolving enhancer PsbQ/CyanoQ	Photosystem II	C	Energy Production and Conversion
COG5740	Photosystem II biogenesis protein Psb29 (thylakoid formation protein THF1)	Photosystem II	C	Energy Production and Conversion
COG5741	Photosystem II subunit Psb30 (=Ycf12)	Photosystem II	C	Energy Production and Conversion
COG5742	Chlorophyll-binding protein PcbABC/IsiA		C	Energy Production and Conversion
COG5743	Photosystem I light harvesting complex protein, LHCA5/LHCA6/HLI5/Ycf17 family	Photosystem I	C	Energy Production and Conversion
COG5744	PsbC-PsaL fusion protein		C	Energy Production and Conversion
COG5745	Photosystem I protein PsaX	Photosystem I	C	Energy Production and Conversion
COG5746	Light-independent protochlorophyllide reductase subunit  B, BchB (= ChlB)		H	Coenzyme Transport and Metabolism
COG5747	Light-independent protochlorophyllide reductase subunit N, BchN (=ChlN)		H	Coenzyme Transport and Metabolism
COG5748	Light-dependent NADPH-protochlorophyllide oxidoreductase		H	Coenzyme Transport and Metabolism
COG5749	Chlorophyllide a oxygenase/letal leaf spot protein		H	Coenzyme Transport and Metabolism
COG5750	Chlorophyll biosynthesis regulator GUN4/Ycf53 domain		T	Signal Transduction Mechanisms
COG5751	Photosynthetic regulator, contains GUN4/Ycf53 domain and N-terminal all-alpha domain		T	Signal Transduction Mechanisms
COG5752	Signaling protein combining a Ser/Thr protein kinase domain and the GUN4/Ycf53 porphyrin-binding domain		T	Signal Transduction Mechanisms
COG5753	Bacteriochlorophyllide reductase subunit BchX		H	Coenzyme Transport and Metabolism
COG5754	Bacteriochlorophyllide reductase subunit BchY		H	Coenzyme Transport and Metabolism
COG5755	Bacteriochlorophyllide reductase subunit BchZ		H	Coenzyme Transport and Metabolism
COG5756	FoF1-type ATP synthase subunit Atp1, cyanobacterial family	FoF1-type ATP synthase	C	Energy Production and Conversion
COG5757	Na+-translocating membrane ATPase (N-ATPase) assembly subunit AtpR	FoF1-type ATP synthase	C	Energy Production and Conversion
COG5758	RNA-binding protein Tab2, reqiured for psaB translation		C	Energy Production and Conversion
COG5758	RNA-binding protein Tab2, reqiured for psaB translation		J	Translation, Ribosomal Structure and Biogenesis
COG5759	Mg-protoporphyrin IX monomethyl ester cyclase BchE, aerobic (=Ycf59)		H	Coenzyme Transport and Metabolism
COG5760	Cyanobacterial/red algae cytochrome b6f complex subunit PetP (= Ycf86), DUF2862 (PF11061) family		C	Energy Production and Conversion
COG5761	Cyanobacterial/chloroplast protein CP12, regulates Calvin cycle by forming a complex with GAPDH and phosphoribulokinase		C	Energy Production and Conversion
COG5762	Uncharacterized cyanobacterial/plant protein PM23 (seed maturation protein), contains DUF760 (PF05542) domain		C	Energy Production and Conversion
COG5763	Cyanobacterial/chloroplast protein Ycf20, involved in dissipation of absorbed light energy, DUF565 (PF04483) domain		C	Energy Production and Conversion
COG5764	Cyanobacterial/chloroplast FeS cluster protein Ycf34, regulator of photosynthetic electron transport, PF10718 domain		C	Energy Production and Conversion
COG5764	Cyanobacterial/chloroplast FeS cluster protein Ycf34, regulator of photosynthetic electron transport, PF10718 domain		T	Signal Transduction Mechanisms
COG5765	Uncharacterized cyanobacterial/chloroplast stress-induced protein Ycf35, DUF1257 domain		C	Energy Production and Conversion
COG5766	Uncharacterized cyanobacterial/chloroplast membrane protein Ycf36, DUF1230 (PF06799) domain		C	Energy Production and Conversion
COG5767	Uncharacterized cyanobacterial/chloroplast membrane protein Ycf51, DUF2518 (PF10726) domain		C	Energy Production and Conversion
COG5768	Cyanobacterial response regulator with REC-Ycf55 domain architecture		C	Energy Production and Conversion
COG5768	Cyanobacterial response regulator with REC-Ycf55 domain architecture		T	Signal Transduction Mechanisms
COG5769	Cyanobacterial/chloroplast membrane protein Tic20/Ycf60, involved in chloroplast protein import		C	Energy Production and Conversion
COG5770	Uncharacterized cyanobacterial protein with Ycf66_N domain		C	Energy Production and Conversion
COG5771	Uncharacterized cyanobacterial/chloroplast protein Pro0776, algal eyespot protein with methylated Arg, DUF1350 (PF07082) domain		C	Energy Production and Conversion
COG5772	Cyanobacterial/chloroplast membrane protein Tic21, involved in chloroplast protein import, DUF3611 (PF12263) domain		C	Energy Production and Conversion
COG5773	Uncharacterized cyanobacterial/plant membrane protein Pro0765, DUF3082 (PF11282) domain		C	Energy Production and Conversion
COG5774	Cytochrome b6 maturation protein CCB1		C	Energy Production and Conversion
COG5774	Cytochrome b6 maturation protein CCB1		O	Post-translational Modification, Protein Turnover, Chaperones
COG5775	Thylakoid membrane protein DAC/CCR2, involved in assembly of b6/f complex and response to cold stress, DUF3007 (PF11460) family		C	Energy Production and Conversion
COG5776	Bacterial PH (pleckstrin homology) domain		C	Energy Production and Conversion
COG5777	Uncharacterized cyanobacterial/plant membrane protein Pro0498, contains N-terminal TPR repeats		C	Energy Production and Conversion
COG5778	Photosystem II assembly factor PAM68, DUF3464 (PF11947) domain		C	Energy Production and Conversion
COG5779	Thylakoid acid phosphatase, contains TAP/TPM domain		C	Energy Production and Conversion
COG5780	Acclimation of photosynthesis to environment protein APE1, affects chlorophyll fluorescence, DUF2854 (PF11016) domain		C	Energy Production and Conversion
COG5780	Acclimation of photosynthesis to environment protein APE1, affects chlorophyll fluorescence, DUF2854 (PF11016) domain		T	Signal Transduction Mechanisms
COG5781	Cytochrome b6 maturation protein CCB2		C	Energy Production and Conversion
COG5781	Cytochrome b6 maturation protein CCB2		O	Post-translational Modification, Protein Turnover, Chaperones
COG5782	NAD(P)H dehydrogenase cyanobacteria/chloroplast-specific subunit NdhV, DUF2996 (PF11210) domain		C	Energy Production and Conversion
COG5783	Chloroplast senescence-associated protein CSAP, DUF1997 (PF09366) domain		C	Energy Production and Conversion
COG5784	Uncharacterized cyanobacterial/plant protein Pro1025, DUF3531 (PF12049) domain		C	Energy Production and Conversion
COG5785	Uncharacterized cyanobacterial/chloroplast protein CR066, DUF3172 (PF11371) domain		C	Energy Production and Conversion
COG5786	Cyanobacterial/plant protein LPA3, possible role in PSII assembly, DUF1995 (PF09353) domain		C	Energy Production and Conversion
COG5787	Uncharacterized cyanobacterial/plant protein Alr2454, DUF3067 (PF11267) family		C	Energy Production and Conversion
COG5788	Cyanobacterial/chloroplast protein SipA, regulator of sensor kinase NblS (Hik33), DUF3148 (PF11347) family		C	Energy Production and Conversion
COG5788	Cyanobacterial/chloroplast protein SipA, regulator of sensor kinase NblS (Hik33), DUF3148 (PF11347) family		T	Signal Transduction Mechanisms
COG5789	Uncharacterized cyanobacterial/plant protein Pro1627, DUF3143 (PF11341) family		C	Energy Production and Conversion
COG5790	NAD(P)H dehydrogenase cyanobacteria/chloroplast-specific subunit S (CRR31)		C	Energy Production and Conversion
COG5791	NAD(P)H dehydrogenase cyanobacteria/chloroplast-specific auxiliary subunit CRR7		C	Energy Production and Conversion
COG5792	Fusion of CP12 with N-terminal CBS domain pair		C	Energy Production and Conversion
COG5792	Fusion of CP12 with N-terminal CBS domain pair		T	Signal Transduction Mechanisms
COG5801	Stage 0 sporulation initiation regulator Spo0A (response regulator, REC-HTH domains)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5801	Stage 0 sporulation initiation regulator Spo0A (response regulator, REC-HTH domains)		T	Signal Transduction Mechanisms
COG5802	Stage 0 sporulation initiation phosphotransferase Spo0B		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5802	Stage 0 sporulation initiation phosphotransferase Spo0B		T	Signal Transduction Mechanisms
COG5803	Stage 0 sporulation initiation response regulator Spo0F		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5803	Stage 0 sporulation initiation response regulator Spo0F		T	Signal Transduction Mechanisms
COG5804	Stage 0 sporulation regulatory phosphatase Spo0E		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5804	Stage 0 sporulation regulatory phosphatase Spo0E		T	Signal Transduction Mechanisms
COG5805	Sporulation sensor histidine kinase A (Stage II sporulation protein SpoIIF/SpoIIJ)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5805	Sporulation sensor histidine kinase A (Stage II sporulation protein SpoIIF/SpoIIJ)		T	Signal Transduction Mechanisms
COG5806	Sporulation sensor histidine kinase B		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5806	Sporulation sensor histidine kinase B		T	Signal Transduction Mechanisms
COG5807	Sporulation sensor histidine kinase C		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5807	Sporulation sensor histidine kinase C		T	Signal Transduction Mechanisms
COG5808	Sporulation sensor histidine kinase D		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5808	Sporulation sensor histidine kinase D		T	Signal Transduction Mechanisms
COG5809	Sporulation sensor histidine kinase E		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5809	Sporulation sensor histidine kinase E		T	Signal Transduction Mechanisms
COG5810	Sporulation protein KbaA, activator of histidine kinase KinB		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5810	Sporulation protein KbaA, activator of histidine kinase KinB		T	Signal Transduction Mechanisms
COG5811	Sporulation sigma factor SigE (mother cell-specific, SpoIIGB)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5811	Sporulation sigma factor SigE (mother cell-specific, SpoIIGB)		K	Transcription
COG5812	Sporulation sigma factor SigF (forespore-specific, SpoIIAC)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5812	Sporulation sigma factor SigF (forespore-specific, SpoIIAC)		K	Transcription
COG5813	Sporulation sigma factor SigG (forespore-specific, SpoIIIG)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5813	Sporulation sigma factor SigG (forespore-specific, SpoIIIG)		K	Transcription
COG5814	Sporulation sigma factor SigK (mother cell-specific, SpoIIIC/SpoIVCB)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5814	Sporulation sigma factor SigK (mother cell-specific, SpoIIIC/SpoIVCB)		K	Transcription
COG5815	Stage II sporulation protein SpoIIAA (antagonist of anti-sigma F factor)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5815	Stage II sporulation protein SpoIIAA (antagonist of anti-sigma F factor)		T	Signal Transduction Mechanisms
COG5816	Stage II sporulation protein SpoIIB (spatial and temporal regulation of the dissolution of septal peptidoglycan during engulfment)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5817	Stage II sporulation protein SpoIIE/SpoIIH (serine phosphatase - sigma-F activation)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5818	Stage II sporulation protein SpoIIGA (protease, processing of pro-sigma-E to active sigma-E)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5818	Stage II sporulation protein SpoIIGA (protease, processing of pro-sigma-E to active sigma-E)		K	Transcription
COG5818	Stage II sporulation protein SpoIIGA (protease, processing of pro-sigma-E to active sigma-E)		O	Post-translational Modification, Protein Turnover, Chaperones
COG5819	Stage II sporulation protein SpoIIP, required for dissolution of the septal cell wall		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5820	Stage II sporulation protein SpoIIQ, required for engulfement		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5821	Stage II sporulation protein SpoIIQ, clostridial version, metallopeptidase M23 family		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5822	Stage II sporulation protein SpoIIR, required for processing of pro-sigma-E		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5823	Stage III sporulation protein SpoIIIAB, component of the engulfment complex		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5824	Stage III sporulation protein SpoIIIAC, component of the engulfment complex		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5825	Stage III sporulation protein SpoIIIAD, component of the engulfment complex		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5826	Stage III sporulation protein SpoIIIAE, component of the engulfment complex		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5827	Stage III sporulation protein SpoIIIAF, component of the engulfment complex		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5828	Stage III sporulation protein SpoIIIAG, component of the engulfment complex		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5829	Stage III sporulation protein SpoIIIAH, component of the engulfment complex		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5830	Stage III sporulation protein SpoIIID, transcriptional regulator of sigma-E- and sigma-K-dependent genes		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5830	Stage III sporulation protein SpoIIID, transcriptional regulator of sigma-E- and sigma-K-dependent genes		K	Transcription
